stt,name,price,other
59,Metroid™ Dread,$59.99,"Nintendo Switch: 4.3 GB , Nintendo Switch 2: 4.3 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Adventure , Shooting , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , October 8, 2021"
60,WarioWare™: Get It Together!,Chưa có,"Nintendo Switch: 1.3 GB , Nintendo Switch 2: 1.3 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-4) , Supported , Action , Party , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , September 10, 2021"
61,The Legend of Zelda™: Skyward Sword HD,$59.99,"Nintendo Switch: 7.1 GB , Nintendo Switch 2: 7.1 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Adventure , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , July 16, 2021"
62,Mario Golf™: Super Rush,Chưa có,"Nintendo Switch: 4.2 GB , Nintendo Switch 2: 4.2 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-4) , Online (2-4) , Supported , Action , Party , Sports , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , CAMELOT , Japanese, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , June 25, 2021"
63,Game Builder Garage™,Chưa có,"Nintendo Switch: 1 GB , Nintendo Switch 2: 1.1 GB , TV mode , Tabletop mode , Handheld mode , Supported , Application , Education , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , June 11, 2021"
64,DC Super Hero Girls™: Teen Power,Chưa có,"Nintendo Switch: 2 GB , Nintendo Switch 2: 2 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Adventure , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, German, Italian, Latin American Spanish, Canadian French, American English , June 4, 2021"
65,Miitopia™,Chưa có,"Nintendo Switch: 3.1 GB , Nintendo Switch 2: 3.1 GB , TV mode , Tabletop mode , Handheld mode , Supported , Role playing , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , May 21, 2021"
66,Famicom Detective Club™: The Two-Case Collection,Chưa có,"Narrative adventure , Nintendo Switch , Nintendo , May 14, 2021"
67,Famicom Detective Club™: The Missing Heir,Chưa có,"Nintendo Switch: 1.6 GB , Nintendo Switch 2: 1.6 GB , TV mode , Tabletop mode , Handheld mode , Supported , Narrative adventure , Save Data Cloud , Nintendo Switch , Nintendo , American English , May 14, 2021"
68,Famicom Detective Club™: The Girl Who Stands Behind,Chưa có,"Nintendo Switch: 1.9 GB , Nintendo Switch 2: 1.9 GB , TV mode , Tabletop mode , Handheld mode , Supported , Narrative adventure , Save Data Cloud , Nintendo Switch , Nintendo , American English , May 14, 2021"
